acts,rfwov,sbd,simo,disc,date,rpGroup,rp,evType,chType,crFlag,commit
1,16.26,,,,20140107,U,COXX,NAC,SP,none,none
2,32.52,,,,20140109,U,COXX,NAC,SP,none,none
2,32.52,,,,20140110,U,COXX,NAC,SP,none,none
1,16.26,,,,20140111,U,COXX,NAC,SP,none,none
1,16.26,,,,20140115,U,COXX,NAC,SP,none,none
1,16.26,,,,20140118,U,COXX,NAC,SP,none,none
1,16.26,,,,20140119,U,COXX,NAC,SP,none,none
1,16.26,,,,20140123,U,COXX,NAC,SP,none,none
1,16.26,,,,20140124,U,COXX,NAC,SP,none,none
1,16.26,,,,20140126,U,COXX,NAC,SP,none,none
1,16.26,,,,20140128,U,COXX,NAC,SP,none,none
1,16.26,,,,20140201,U,COXX,NAC,SP,none,none
1,16.26,,,,20140203,U,COXX,NAC,SP,none,none
1,16.26,,,,20140205,U,COXX,NAC,SP,none,none
2,32.52,,,,20140206,U,COXX,NAC,SP,none,none
2,32.52,,,,20140208,U,COXX,NAC,SP,none,none
1,16.26,,,,20140211,U,COXX,NAC,SP,none,none
1,16.26,,,,20140214,U,COXX,NAC,SP,none,none
1,16.26,,,,20140215,U,COXX,NAC,SP,none,none
1,16.26,,,,20140221,U,COXX,NAC,SP,none,none
1,16.26,,,,20140222,U,COXX,NAC,SP,none,none
3,48.78,,,,20140227,U,COXX,NAC,SP,none,none
1,16.26,,,1.626,20140228,U,COXX,NAC,SP,none,none
2,32.52,,,,20140312,U,COXX,NAC,SP,none,none
1,16.26,,,,20140313,U,COXX,NAC,SP,none,none
1,16.26,,,,20140314,U,COXX,NAC,SP,none,none
1,16.26,,,,20140317,U,COXX,NAC,SP,none,none
1,16.26,,,,20140320,U,COXX,NAC,SP,none,none
1,16.26,,,1.626,20140324,U,COXX,NAC,SP,none,none
1,16.26,,,,20140328,U,COXX,NAC,SP,none,none
1,16.26,,,,20140329,U,COXX,NAC,SP,none,none
1,16.26,,,,20140331,U,COXX,NAC,SP,none,none
1,16.26,,,,20140401,U,COXX,NAC,SP,none,none
2,32.52,,,,20140403,U,COXX,NAC,SP,none,none
1,16.26,,,,20140410,U,COXX,NAC,SP,none,none
1,16.26,,,,20140411,U,COXX,NAC,SP,none,none
1,16.26,,,,20140414,U,COXX,NAC,SP,none,none
1,16.26,,,1.626,20140417,U,COXX,NAC,SP,none,none
1,16.26,,,1.626,20140418,U,COXX,NAC,SP,none,none
1,16.26,,,,20140424,U,COXX,NAC,SP,none,none
1,16.26,,,,20140428,U,COXX,NAC,SP,none,none
1,16.26,,,,20140430,U,COXX,NAC,SP,none,none
1,16.26,,,1.626,20140503,U,COXX,NAC,SP,none,none
1,16.26,,,,20140507,U,COXX,NAC,SP,none,none
1,16.26,,,,20140513,U,COXX,NAC,SP,none,none
1,16.26,,,,20140515,U,COXX,NAC,SP,none,none
1,16.26,,,1.626,20140519,U,COXX,NAC,SP,none,none
1,16.26,,,1.626,20140523,U,COXX,NAC,SP,none,none
4,146.341,,,,20140414,U,COXLV,NAC,SP,none,none
1,16.26,,,,20140606,U,CPXX,NAC,SP,none,none
1,16.26,,,,20140609,U,CPXX,NAC,SP,none,none
1,16.26,,,,20140610,U,CPXX,NAC,SP,none,none
1,16.26,,,,20140612,U,CPXX,NAC,SP,none,none
1,16.26,,,,20140618,U,CPXX,NAC,SP,none,none
1,16.26,,,,20140619,U,CPXX,NAC,SP,none,none
1,16.26,,,,20140620,U,CPXX,NAC,SP,none,none
1,16.26,,,1.626,20140621,U,CPXX,NAC,SP,none,none
1,16.26,,,,20140623,U,CPXX,NAC,SP,none,none
1,16.26,,,,20140624,U,CPXX,NAC,SP,none,none
1,16.26,,,,20140625,U,CPXX,NAC,SP,none,none
2,32.52,,,,20140626,U,CPXX,NAC,SP,none,none
1,16.26,,,,20140701,U,CPXX,NAC,SP,none,none
2,32.52,,,,20140704,U,CPXX,NAC,SP,none,none
1,16.26,,,,20140707,U,CPXX,NAC,SP,none,none
1,16.26,,,,20140708,U,CPXX,NAC,SP,none,none
1,16.26,,,,20140714,U,CPXX,NAC,SP,none,none
1,16.26,,,,20140715,U,CPXX,NAC,SP,none,none
1,16.26,,,,20140716,U,CPXX,NAC,SP,none,none
1,16.26,,,,20140726,U,CPXX,NAC,SP,none,none
1,16.26,,,,20140729,U,CPXX,NAC,SP,none,none
2,32.52,,,,20140731,U,CPXX,NAC,SP,none,none
2,32.52,,,,20140804,U,CPXX,NAC,SP,none,none
3,48.78,,,,20140805,U,CPXX,NAC,SP,none,none
1,16.26,,,,20140809,U,CPXX,NAC,SP,none,none
1,16.26,,,,20140825,U,CPXX,NAC,SP,none,none
1,16.26,,,,20140828,U,CPXX,NAC,SP,none,none
1,16.26,,,,20140902,U,CPXX,NAC,SP,none,none
1,16.26,,,1.626,20140908,U,CPXX,NAC,SP,none,none
